volume,dice,iou,precision,recall,gt_size,pred_size,tumor_present,missed
301,0.0,0.0,0.0,0.0,2307,0,True,True
302,0.0,0.0,0.0,0.0,1694,0,True,True
303,0.0,0.0,0.0,0.0,146,0,True,True
304,1.0,1.0,1.0,1.0,0,0,False,False
305,0.0,0.0,0.0,0.0,1479,0,True,True
306,0.5270194986072423,0.3577912254160363,0.8743068391866913,0.37719298245614036,1254,541,True,False
307,0.3139412997903564,0.1861983214174697,0.9819672131147541,0.18683718028696195,3206,610,True,False
308,0.018523153942428035,0.009348155634158665,1.0,0.009348155634158665,3958,37,True,False
309,0.0,0.0,0.0,0.0,1837,0,True,True
310,0.7866246813615234,0.648294611962432,0.8480439702554154,0.7335011185682326,3576,3093,True,False
311,1.0,1.0,1.0,1.0,0,0,False,False
312,0.8539120919204815,0.74506683640993,0.9844407064760303,0.7539452495974235,3105,2378,True,False
313,0.9404447794949115,0.887584489505514,0.887584489505514,1.0,2495,2811,True,False
314,0.7976190476190477,0.6633663366336634,0.8867647058823529,0.7247596153846154,832,680,True,False
315,1.0,1.0,1.0,1.0,0,0,False,False
316,0.7302785732882062,0.5751486569612466,0.8678836633663366,0.6303370786516854,4450,3232,True,False
317,0.9137123745819398,0.8411330049261084,0.9167785234899329,0.9106666666666666,750,745,True,False
318,0.7050174126144718,0.5444223107569721,0.9757229560871118,0.5518982229402262,4952,2801,True,False
319,0.9616081726808371,0.9260552205649001,0.9694352159468439,0.9539065053939196,3059,3010,True,False
320,0.7506172839506173,0.6007905138339921,0.8386206896551724,0.6793296089385474,895,725,True,False
321,1.0,1.0,1.0,1.0,0,0,False,False
322,0.0,0.0,0.0,0.0,117,0,True,True
323,0.7643482129615898,0.6185789726356217,0.9862227324913893,0.6239709443099274,4130,2613,True,False
324,0.9272334293948127,0.8643384822028207,0.8678354686446392,0.9953596287703016,1293,1483,True,False
325,1.0,1.0,1.0,1.0,0,0,False,False
326,0.9704446157800052,0.9425861208187718,0.9554655870445344,0.9859007832898172,1915,1976,True,False
327,0.964766332273061,0.9319309855826046,0.9850112415688234,0.9453368496763366,4171,4003,True,False
328,0.9648708126171652,0.9321259842519685,0.9712832294059731,0.9585425101214575,6175,6094,True,False
329,0.8914362778152394,0.8041362530413625,0.9865671641791045,0.8130381303813038,813,670,True,False
330,0.7599792638672888,0.612876254180602,0.612876254180602,1.0,733,1196,True,False
331,1.0,1.0,1.0,1.0,0,0,False,False
332,1.0,1.0,1.0,1.0,0,0,False,False
333,0.9491762077631947,0.9032686686154664,0.9979448032883147,0.9049520766773163,3756,3406,True,False
334,0.9346586279941339,0.877332517589477,0.9406362741882585,0.9287564766839378,3088,3049,True,False
335,0.9239258967284194,0.8586080586080586,0.981163666806195,0.872998137802607,2685,2389,True,False
336,0.8693928128872367,0.7689609820254274,0.9595185995623632,0.7947439963751699,2207,1828,True,False
337,0.8513089005235602,0.7411121239744758,0.9655581947743468,0.7612359550561798,2136,1684,True,False
338,0.9336252908170247,0.8755133470225873,0.9723489167616876,0.8978678599631482,3799,3508,True,False
339,0.8428855541493401,0.7284375,0.9533742331288344,0.755346727154893,3086,2445,True,False
340,0.8747795414462081,0.7774294670846394,0.9471674092934437,0.8126706717640634,1831,1571,True,False
341,1.0,1.0,1.0,1.0,0,0,False,False
342,0.7754737218448338,0.6332846715328467,0.9954107388710418,0.6351390922401171,3415,2179,True,False
343,0.950793005286702,0.9062015503875969,0.9613486842105263,0.9404666130329847,2486,2432,True,False
344,0.9069940476190477,0.8298162014976175,0.9553291536050157,0.863314447592068,1412,1276,True,False
345,0.6853297442799462,0.5212940212940212,0.5266859743483657,0.9807395993836672,1298,2417,True,False
346,0.9432943294329433,0.8926746166950597,0.9821930646672915,0.9073593073593074,1155,1067,True,False
347,0.8985637342908438,0.8158109209453953,0.9225806451612903,0.8757655293088364,1143,1085,True,False
348,0.9593160377358491,0.9218130311614731,0.959882005899705,0.9587507365939893,1697,1695,True,False
349,0.7333517546283503,0.5789703315881326,0.8888144675150703,0.6241768579492004,4252,2986,True,False
350,0.9563353870881328,0.9163244353182751,0.9813084112149533,0.932601880877743,1914,1819,True,False
