volume,dice,iou,precision,recall,gt_size,pred_size,tumor_present,missed
301,0.557356608478803,0.3863439930855661,0.9922308546059934,0.38751625487646296,2307,901,True,False
302,0.0,0.0,0.0,0.0,1694,0,True,True
303,0.0,0.0,0.0,0.0,146,0,True,True
304,1.0,1.0,1.0,1.0,0,0,False,False
305,0.0,0.0,0.0,0.0,1479,0,True,True
306,0.5184369840396258,0.34992570579494797,0.8365896980461812,0.37559808612440193,1254,563,True,False
307,0.3390967741935484,0.20416407706650094,0.9820627802690582,0.20492825951341234,3206,669,True,False
308,0.02001000500250125,0.01010611419909045,1.0,0.01010611419909045,3958,40,True,False
309,0.0,0.0,0.0,0.0,1837,0,True,True
310,0.8190918322936313,0.6936117936117936,0.8510702441965632,0.7894295302013423,3576,3317,True,False
311,1.0,1.0,1.0,1.0,0,0,False,False
312,0.8583877995642701,0.7519083969465649,0.9837702871410736,0.7613526570048309,3105,2403,True,False
313,0.9400904295403165,0.8869534305012442,0.8869534305012442,1.0,2495,2813,True,False
314,0.8010540184453228,0.6681318681318681,0.8862973760932945,0.7307692307692307,832,686,True,False
315,1.0,1.0,1.0,1.0,0,0,False,False
316,0.7424456731387424,0.5903885480572597,0.8677487225728885,0.6487640449438202,4450,3327,True,False
317,0.9112741827885257,0.8370098039215687,0.9118825100133512,0.9106666666666666,750,749,True,False
318,0.7035772974339527,0.5427067082683308,0.9405204460966543,0.5619951534733441,4952,2959,True,False
319,0.9619753086419753,0.9267364414843007,0.9688328912466844,0.9552141222621772,3059,3016,True,False
320,0.7533742331288343,0.6043307086614174,0.8353741496598639,0.6860335195530727,895,735,True,False
321,1.0,1.0,1.0,1.0,0,0,False,False
322,0.0,0.0,0.0,0.0,117,0,True,True
323,0.771158950162194,0.6275497960163187,0.9860482654600302,0.6331719128329297,4130,2652,True,False
324,0.9234073013600572,0.8577127659574468,0.8594270486342438,0.9976798143851509,1293,1501,True,False
325,1.0,1.0,1.0,1.0,0,0,False,False
326,0.9687660010240655,0.9394240317775571,0.9502762430939227,0.9879895561357702,1915,1991,True,False
327,0.9696895922093731,0.9411625708884688,0.984915924826904,0.9549268760489091,4171,4044,True,False
328,0.963667398195562,0.9298823529411765,0.9673629242819843,0.96,6175,6128,True,False
329,0.8917283120376597,0.8046116504854369,0.983679525222552,0.8154981549815498,813,674,True,False
330,0.7533401849948612,0.6042868920032977,0.6042868920032977,1.0,733,1213,True,False
331,1.0,1.0,1.0,1.0,0,0,False,False
332,1.0,1.0,1.0,1.0,0,0,False,False
333,0.9499372472458514,0.9046480743691899,0.9973645680819913,0.9068157614483493,3756,3415,True,False
334,0.9363562753036437,0.8803288672350792,0.9365079365079365,0.9362046632124352,3088,3087,True,False
335,0.9248918600078647,0.8602779809802488,0.9795918367346939,0.8759776536312849,2685,2401,True,False
336,0.8820362212432697,0.7889667250437828,0.9590207557211282,0.8164929768917082,2207,1879,True,False
337,0.8617380025940338,0.7570647219690064,0.9662594531704479,0.7776217228464419,2136,1719,True,False
338,0.9338436303991252,0.8758974358974358,0.9712823429058857,0.8991839957883654,3799,3517,True,False
339,0.8437387224828582,0.7297128589263421,0.9519543973941368,0.7576150356448477,3086,2456,True,False
340,0.8594900849858357,0.7536015896671634,0.8928781636256622,0.8285090114691426,1831,1699,True,False
341,1.0,1.0,1.0,1.0,0,0,False,False
342,0.7982456140350878,0.6642335766423357,0.9956236323851203,0.6661786237188873,3415,2285,True,False
343,0.9519172245891662,0.908246225319396,0.9602947196070405,0.9436846339501207,2486,2443,True,False
344,0.9077380952380952,0.8310626702997275,0.9561128526645768,0.8640226628895185,1412,1276,True,False
345,0.6788844621513944,0.5138721351025332,0.5180381029590596,0.9845916795069337,1298,2467,True,False
346,0.9480286738351255,0.9011925042589438,0.9823584029712163,0.9160173160173161,1155,1077,True,False
347,0.9127159946832077,0.8394458027709861,0.9245960502692998,0.9011373578302713,1143,1114,True,False
348,0.9559859154929577,0.9156829679595279,0.9520748100526009,0.9599292869770183,1697,1711,True,False
349,0.743925743925744,0.5922625516192133,0.8864671437865973,0.6408748824082785,4252,3074,True,False
350,0.9569173133529569,0.9173935351462288,0.9808008776741635,0.9341692789968652,1914,1823,True,False
351,0.9314853556485355,0.8717572197748409,0.9695155144256941,0.8963261197785607,1987,1837,True,False
352,0.4316792960156441,0.2752493765586035,0.2757651467832605,0.9932508436445444,889,3202,True,False
353,0.0,0.0,0.0,0.0,4,0,True,True
354,0.7448538315170385,0.5934399117971334,0.9822080291970803,0.5998885483421565,3589,2192,True,False
355,0.9115120274914089,0.8374112075769534,0.8387351778656127,0.9981185324553151,1063,1265,True,False
356,0.7938034188034188,0.6581045172719221,0.8639534883720931,0.7341897233201581,1012,860,True,False
357,0.7673012318029115,0.6224563953488372,0.6570771001150748,0.9219590958019376,1858,2607,True,False
358,0.9110898661567878,0.8366988586479368,0.9734422880490297,0.8562443845462714,2226,1958,True,False
359,0.8761314911862792,0.7795676133955066,0.9010289073983342,0.8525730180806675,2157,2041,True,False
360,0.0,0.0,0.0,0.0,0,4076,False,False
361,0.8480856319473035,0.7362401715511079,0.9423604757548033,0.7709580838323353,1336,1093,True,False
362,0.9431818181818182,0.8924731182795699,0.9476688867745005,0.9387370405278039,3183,3153,True,False
363,0.936961103659705,0.8813987022350397,0.9644970414201184,0.9109538002980626,2684,2535,True,False
364,0.7876569037656904,0.6496980155306299,0.677158273381295,0.94125,800,1112,True,False
365,0.7326465124134437,0.5780916844349681,0.956771063078959,0.5935960591133005,3654,2267,True,False
366,0.9391365888181175,0.885256837891928,0.8894101876675603,0.9947526236881559,1334,1492,True,False
367,0.8179693586081537,0.6920035149384886,0.9993654822335025,0.6923076923076923,2275,1576,True,False
368,0.871655943108703,0.7725090036014406,0.9869631901840491,0.7804730139478472,1649,1304,True,False
369,0.6619136960600375,0.49467190128996075,0.9250131095962244,0.5153374233128835,3423,1907,True,False
