volume,dice,iou,precision,recall,gt_size,pred_size,tumor_present,missed
301,0.7227481741952935,0.5658619229140195,0.9611510791366906,0.5791070654529692,2307,1390,True,False
302,0.0,0.0,0.0,0.0,1694,0,True,True
303,0.0,0.0,0.0,0.0,146,0,True,True
304,1.0,1.0,1.0,1.0,0,0,False,False
305,0.0,0.0,0.0,0.0,1479,0,True,True
306,0.5361534677816036,0.36626344086021506,0.699614890885751,0.43460925039872406,1254,779,True,False
307,0.4792801326071513,0.31516661476175645,0.9950835791543756,0.3156581409856519,3206,1017,True,False
308,0.0,0.0,0.0,0.0,3958,0,True,True
309,0.0,0.0,0.0,0.0,1837,0,True,True
310,0.6915096337073894,0.5284789644012945,0.5563884156729131,0.9133109619686801,3576,5870,True,False
311,1.0,1.0,1.0,1.0,0,0,False,False
312,0.908292518155717,0.8319925742574258,0.9549005681818182,0.8660225442834139,3105,2816,True,False
313,0.9092565597667639,0.833611760775142,0.833611760775142,1.0,2495,2993,True,False
314,0.6584967320261438,0.49086479902557856,0.49876237623762376,0.96875,832,1616,True,False
315,1.0,1.0,1.0,1.0,0,0,False,False
316,0.842082143641555,0.7272382397572079,0.8234536082474226,0.8615730337078652,4450,4656,True,False
317,0.83811850946854,0.7213459516298633,0.7733934611048479,0.9146666666666666,750,887,True,False
318,0.7349353942760536,0.580946926307751,0.914088314809252,0.6144991922455574,4952,3329,True,False
319,0.9593023255813954,0.9217877094972067,0.947973188637089,0.9709055246812683,3059,3133,True,False
320,0.7893361212754836,0.6519861830742659,0.7416502946954814,0.8435754189944135,895,1018,True,False
321,1.0,1.0,1.0,1.0,0,0,False,False
322,0.0,0.0,0.0,0.0,117,0,True,True
323,0.8852459016393442,0.7941176470588235,0.9656652360515021,0.8171912832929782,4130,3495,True,False
324,0.7526193247962747,0.6033597760149323,0.6033597760149323,1.0,1293,2143,True,False
325,1.0,1.0,1.0,1.0,0,0,False,False
326,0.9318071115440818,0.8723210214318285,0.8731172980374259,0.9989556135770234,1915,2191,True,False
327,0.8319260152794532,0.7122203098106713,0.7162887311753505,0.9920882282426277,4171,5777,True,False
328,0.8657780312210421,0.7633232780291603,0.7732365673542144,0.9834817813765182,6175,7854,True,False
329,0.9103896103896104,0.8355184743742551,0.9642365887207703,0.8622386223862238,813,727,True,False
330,0.5001705902422381,0.33348498635122836,0.33348498635122836,1.0,733,2198,True,False
331,1.0,1.0,1.0,1.0,0,0,False,False
332,1.0,1.0,1.0,1.0,0,0,False,False
333,0.944888178913738,0.8955336866010598,0.944888178913738,0.944888178913738,3756,3756,True,False
334,0.9129715917631144,0.8398783185840708,0.8518934081346423,0.9834844559585493,3088,3565,True,False
335,0.9115398616672734,0.8374581939799332,0.8914204343182627,0.9325884543761639,2685,2809,True,False
336,0.9540329575021682,0.912106135986733,0.9147609147609148,0.9968282736746715,2207,2405,True,False
337,0.9571167883211679,0.9177602799650044,0.9332740213523132,0.9822097378277154,2136,2248,True,False
338,0.9305501868315939,0.8701204819277109,0.9114083796062594,0.9505132929718347,3799,3962,True,False
339,0.8572417373247967,0.7501514233797698,0.9197920534719644,0.8026571613739468,3086,2693,True,False
340,0.7687674768767477,0.6243885394828791,0.6341376863023421,0.9759694156198798,1831,2818,True,False
341,1.0,1.0,1.0,1.0,0,0,False,False
342,0.947568834212068,0.900361814639577,0.9478464693817755,0.9472913616398243,3415,3413,True,False
343,0.9470404984423676,0.8994082840236687,0.9177358490566038,0.9782783588093322,2486,2650,True,False
344,0.901067615658363,0.8199481865284974,0.9055793991416309,0.896600566572238,1412,1398,True,False
345,0.521494576134994,0.3527173913043478,0.3527173913043478,1.0,1298,3680,True,False
346,0.9109069117059528,0.8363903154805576,0.8456973293768546,0.987012987012987,1155,1348,True,False
347,0.9276665304454434,0.8650914634146342,0.870398773006135,0.9930008748906387,1143,1304,True,False
348,0.8243866893368959,0.7012396694214876,0.7012396694214876,1.0,1697,2420,True,False
349,0.7392426850258176,0.5863481228668942,0.6812053925455988,0.8080903104421449,4252,5044,True,False
350,0.9498089171974522,0.9044153323629306,0.9269020387866733,0.9738766980146291,1914,2011,True,False
351,0.9047505371210313,0.8260680034873583,0.8605812897366031,0.9536990437845999,1987,2202,True,False
352,0.33415048085989063,0.20058863482001357,0.20072496601721795,0.9966254218222722,889,4414,True,False
353,0.0,0.0,0.0,0.0,4,0,True,True
354,0.9221967963386728,0.8556263269639066,0.9473993535116074,0.898300362217888,3589,3403,True,False
355,0.784212467724087,0.6450242718446602,0.6450242718446602,1.0,1063,1648,True,False
356,0.8545190913484775,0.7459915611814346,0.836329233680227,0.8735177865612648,1012,1057,True,False
357,0.7378313253012048,0.5845742649866361,0.6679755671902269,0.8240043057050592,1858,2292,True,False
358,0.9323042998897464,0.8731928954977282,0.9155478562148116,0.949685534591195,2226,2309,True,False
359,0.9459767494871211,0.8974913494809689,0.9304932735426009,0.961984237366713,2157,2230,True,False
360,0.0,0.0,0.0,0.0,0,1042,False,False
361,0.8521939953810623,0.7424547283702213,0.8771790808240888,0.8285928143712575,1336,1262,True,False
362,0.9446976602856275,0.8951914771091276,0.9146807884671962,0.976751492302859,3183,3399,True,False
363,0.9383116883116883,0.8837920489296636,0.9094405594405595,0.9690760059612519,2684,2860,True,False
364,0.6967916854948034,0.5346740638002774,0.5456475583864119,0.96375,800,1413,True,False
365,0.4239810222126375,0.26902025177887245,1.0,0.26902025177887245,3654,983,True,False
366,0.7285636264336428,0.5730240549828178,0.5730240549828178,1.0,1334,2328,True,False
367,0.9272260273972602,0.8643256185155627,0.9036295369211514,0.9520879120879121,2275,2397,True,False
368,0.9225531914893617,0.8562401263823065,0.8667377398720683,0.9860521528198909,1649,1876,True,False
369,0.9089426474585485,0.8330842052815147,0.8498094027954257,0.9769208296815659,3423,3935,True,False
